"Volume","Chapter","Paragraph","Line","Annotation_Num","Annotation_State","Annotation_Title","Annotation_Body"
"7","1","1","1","1","1","朱雀院の行幸は神無月の十日あまりなり","この「朱雀院行幸」は「若紫」「末摘花」巻に予告されたもの。「行幸　ギャウガウ」（文明本節用集）、「ぎょうごう」と濁音に読む。この巻は新年立によれば、源氏十八歳の秋から十九歳の秋までの宰相中将時代の物語。まず、源氏、その試楽に青海波を舞う。"
"7","1","1","1","2","1","世の常ならず","恒例の朱雀院行幸とは違って。朱雀院にいられる上皇（一院）の算賀の行幸であろう。『完訳』は「一院の四十賀か五十賀かを行うための行幸」「この一院は桐壺帝の父か」と注す。"
"7","1","1","1","3","1","御方々","桐壺帝の後宮の妃方。"
"7","1","1","1","4","1","口惜しがりたまふ","主語は御方々。"
"7","1","1","1","5","1","主上も","帝を「主上」と呼称する。「も」（係助詞）は、並列を表す。御方々同様に主上ものニュアンス。"
"7","1","1","1","6","1","藤壺の見たまはざらむを","藤壺の女御を殿舎名で「藤壺」と呼称する。"
"7","1","1","1","7","1","思さるれば","「るれ」（自発の助動詞）、お思いにならずにはいらっしゃれないのニュアンス。"
"7","1","1","1","8","1","試楽を御前にてせさせたまふ","試楽は予行演習。御前は清涼殿の東庭をさす。「させ」（尊敬の助動詞）「たまふ」（尊敬の補助動詞）、最高敬語。帝は試楽を清涼殿の東庭でお催しあそばすの意。「御前にて」、横山本と陽明文庫本「御まへにて」とある。"
"7","1","1","2","9","1","源氏中将は青海波をぞ舞ひたまひける","公の場では「源氏中将」と呼称される。「ける」（過去の助動詞）は過去の事件を伝承的に現在の人の前に語る。源氏の中将は青海波をお舞いになったということである。"
"7","1","1","2","10","1","片手には","青海波は二人一対になって舞うので、その相手方にはの意。"
"7","1","1","2","11","1","大殿の頭中将","大殿は左大臣、その子息頭中将、源氏の正妻葵上の兄。"
"7","1","1","3","12","1","帝涙を","地の文では「帝」と呼称される。"
"7","1","1","3","13","1","上達部親王たちも","ここでは上達部、親王の順に紹介される。"
"7","1","1","3","14","1","常よりも光ると見えたまふ","「光る」は当時の最高の美の形容。"
"7","1","1","4","15","1","春宮の女御","春宮の母女御の意。一宮の母女御、弘徽殿の女御。"
"7","1","1","4","16","1","神など空にめでつべき容貌かなうたてゆゆし","弘徽殿女御の詞。周囲の女房に洩らした独白であろう。"
"7","1","1","4","17","1","若き女房などは心憂しと耳とどめけり","弘徽殿女御方に仕える若女房か。"
"7","1","1","4","18","1","おほけなき心のなからましかば、ましてめでたく見えまし","藤壺の心中。「おほけなき心」を『集成』は「藤壺に対する源氏の思慕の情をさす」というように、源氏の心と解し、源氏がそのような大それた気持ちを抱かずに青海波を舞ったのであったら一層すばらしく見えるであろうにの意に解す。それに対して、『完訳』は「帝に寵愛されながらも源氏と密通したという畏れ多い気持」「自分に大それた心のわだかまりがなかったら、この舞姿がいっそうすばらしく見えようものを」というように、藤壺自身の心と解す。一見相反するような両者の読みもそれぞれに可能なところが源氏物語独特の表現性の豊さであり深さでもある。和歌でいえば掛詞的表現の手法である。両意を汲んで以下読み進める。"
"7","1","1","5","19","1","宮はやがて御宿直なりけり","「宮」は藤壺をさす。ただ「宮」とだけ呼称することによって、春宮の女御に対し血筋の高貴さを引き立たせる。清涼殿広廂の間から夜の御殿に移動し帝の御寝に侍することになる。それを「御宿直」と表現する。"
