"Volume","Chapter","Paragraph","Line","LineId","Text"
"5","1","1","1","05010101","　瘧病にわづらひたまひて、よろづにまじなひ加持など参らせたまへど、しるしなくて、あまたたびおこりたまひければ、ある人、"
"5","1","1","2","05010102","　「北山になむ、なにがし寺といふ所に、かしこき行ひ人はべる。去年の夏も世におこりて、人びとまじなひわづらひしを、やがてとどむるたぐひ、あまたはべりき。ししこらかしつる時はうたてはべるを、とくこそ試みさせたまはめ」"
"5","1","1","3","05010103","　など聞こゆれば、召しに遣はしたるに、「老いかがまりて、室の外にもまかでず」と申したれば、「いかがはせむ。いと忍びてものせむ」とのたまひて、御供にむつましき四、五人ばかりして、まだ暁におはす。"
"5","1","1","4","05010104","　やや深う入る所なりけり。三月のつごもりなれば、京の花盛りはみな過ぎにけり。山の桜はまだ盛りにて、入りもておはするままに、霞のたたずまひもをかしう見ゆれば、かかるありさまもならひたまはず、所狭き御身にて、めづらしう思されけり。"
"5","1","1","5","05010105","　寺のさまもいとあはれなり。峰高く、深き巖屋の中にぞ、聖入りゐたりける。登りたまひて、誰とも知らせたまはず、いといたうやつれたまへれど、しるき御さまなれば、"
"5","1","1","6","05010106","　「あな、かしこや。一日、召しはべりしにやおはしますらむ。今は、この世のことを思ひたまへねば、験方の行ひも捨て忘れてはべるを、いかで、かうおはしましつらむ」"
"5","1","1","7","05010107","　と、おどろき騒ぎ、うち笑みつつ見たてまつる。いと尊き大徳なりけり。さるべきもの作りて、すかせたてまつり、加持など参るほど、日高くさし上がりぬ。"
"5","1","2","1","05010201","　すこし立ち出でつつ見渡したまへば、高き所にて、ここかしこ、僧坊どもあらはに見おろさるる、ただこのつづら折の下に、同じ小柴なれど、うるはしくし渡して、清げなる屋、廊など続けて、木立いとよしあるは、"
"5","1","2","2","05010202","　「何人の住むにか」"
"5","1","2","3","05010203","　と問ひたまへば、御供なる人、"
"5","1","2","4","05010204","　「これなむ、なにがし僧都の、二年籠もりはべる方にはべるなる」"
"5","1","2","5","05010205","　「心恥づかしき人住むなる所にこそあなれ。あやしうも、あまりやつしけるかな。聞きもこそすれ」などのたまふ。"
"5","1","2","6","05010206","　清げなる童などあまた出で来て、閼伽たてまつり、花折りなどするもあらはに見ゆ。"
"5","1","2","7","05010207","　「かしこに、女こそありけれ」"
"5","1","2","8","05010208","　「僧都は、よも、さやうには、据ゑたまはじを」"
"5","1","2","9","05010209","　「いかなる人ならむ」"
"5","1","2","10","05010210","　と口々言ふ。下りて覗くもあり。"
"5","1","2","11","05010211","　「をかしげなる女子ども、若き人、童女なむ見ゆる」と言ふ。"
"5","1","2","12","05010212","　君は、行ひしたまひつつ、日たくるままに、いかならむと思したるを、"
"5","1","2","13","05010213","　「とかう紛らはさせたまひて、思し入れぬなむ、よくはべる」"
"5","1","2","14","05010214","　と聞こゆれば、後への山に立ち出でて、京の方を見たまふ。はるかに霞みわたりて、四方の梢そこはかとなう煙りわたれるほど、"
"5","1","2","15","05010215","　「絵にいとよくも似たるかな。かかる所に住む人、心に思ひ残すことはあらじかし」とのたまへば、"
"5","1","2","16","05010216","　「これは、いと浅くはべり。人の国などにはべる海、山のありさまなどを御覧ぜさせてはべらば、いかに、御絵いみじうまさらせたまはむ。富士の山、なにがしの嶽」"
"5","1","2","17","05010217","　など、語りきこゆるもあり。また西国のおもしろき浦々、磯の上を言ひ続くるもありて、よろづに紛らはしきこゆ。"
"5","1","2","18","05010218","　「近き所には、播磨の明石の浦こそ、なほことにはべれ。何の至り深き隈はなけれど、ただ、海の面を見わたしたるほどなむ、あやしく異所に似ず、ゆほびかなる所にはべる。"
"5","1","2","19","05010219","　かの国の前の守、新発意の、女かしづきたる家、いといたしかし。大臣の後にて、出で立ちもすべかりける人の、世のひがものにて、交じらひもせず、近衛の中将を捨てて、申し賜はれりける司なれど、"
"5","1","2","20","05010220","　かの国の人にもすこしあなづられて、『何の面目にてか、また都にも帰らむ』と言ひて、頭も下ろしはべりにけるを、すこし奥まりたる山住みもせで、さる海づらに出でゐたる、ひがひがしきやうなれど、げに、かの国のうちに、さも、人の籠もりゐぬべき所々はありながら、深き里は、人離れ心すごく、若き妻子の思ひわびぬべきにより、かつは心をやれる住まひになむはべる。"
