"Volume","Chapter","Paragraph","Line","LineId","Text"
"39","1","1","1","39010101","&nbsp;&nbsp;Mamebito no na wo tori te&#44; sakasigari tamahu Daisyau&#44; kono Itideu-no-Miya no ohom-arisama wo&#44; naho aramahosi to kokoro ni todome te&#44; ohokata no hitome ni ha&#44; mukasi wo wasure nu youi ni mise tutu&#44; ito nemgoro ni toburahi kikoye tamahu. Sita no kokoro ni ha&#44; kakute ha yamu maziku nam&#44; tukihi ni sohe te&#44; omohi masari tamahi keru."
"39","1","1","2","39010102","&nbsp;&nbsp;Miyasumdokoro mo&#44; &#34;Ahare ni arigataki mi-kokorobahe ni mo aru kana!&#34; to&#44; ima ha iyoiyo mono-sabisiki ohom-turedure wo&#44; taye zu otodure tamahu ni&#44; nagusame tamahu koto-domo ohokari."
"39","1","1","3","39010103","&nbsp;&nbsp;Hazime yori kesaubi te mo kikoye tamaha zari si ni&#44;"
"39","1","1","4","39010104","&nbsp;&nbsp;&#34;Hiki-kahesi kesaubami namameka m mo mabayusi. Tada hukaki kokorozasi wo miye tatematuri te&#44; utitoke tamahu wori mo arazi yaha.&#34;"
"39","1","1","5","39010105","&nbsp;&nbsp;to omohi tutu&#44; sarubeki koto ni tuke te mo&#44; Miya no ohom-kehahi arisama wo mi tamahu. Midukara nado kikoye tamahu koto ha sarani nasi."
"39","1","1","6","39010106","&nbsp;&nbsp;&#34;Ikanara m tuide ni&#44; omohu koto wo mo maho ni kikoye sirase te&#44; hito no ohom-kehahi wo mi m.&#34;"
"39","1","1","7","39010107","&nbsp;&nbsp;to obosi wataru ni&#44; Miyasumdokoro&#44; mononoke ni itau wadurahi tamahi te&#44; Wono to ihu watari ni&#44; yamazato mo' tamahe ru ni watari tamahe ri. Hayau yori ohom-inori no si ni&#44; mononoke nado harahi sute keru Risi&#44; yamagomori si te sato ni ide zi to tikahi taru wo&#44; humoto tikaku te&#44; sauzi orosi tamahu yuwe nari keri."
"39","1","1","8","39010108","&nbsp;&nbsp;Mi-kuruma yori hazime te&#44; gozen nado&#44; Daisyau-dono yori zo tatemature tamahe ru wo&#44; nakanaka no mukasi no tikaki yukari no Kimi-tati ha&#44; kotowaza sigeki onogazisi no yo no itonami ni magire tutu&#44; e simo omohi ide kikoye tamaha zu."
"39","1","1","9","39010109","&nbsp;&nbsp;Ben-no-Kimi&#44; hata&#44; omohu kokoronaki ni simo ara de&#44; kesikibami keru ni&#44; koto no hoka naru ohom-motenasi nari keru ni ha&#44; sihite e ma'de toburahi tamaha zu nari ni tari."
"39","1","1","10","39010110","&nbsp;&nbsp;Kono Kimi ha&#44; ito kasikou&#44; sarigenaku te kikoye nare tamahi ni ta' meri. Suhohu nado se sase tamahu to kiki te&#44; Sou no huse&#44; zyaue nado yau no&#44; komaka naru mono wo sahe tatemature tamahu. Nayami tamahu hito ha&#44; e kikoye tamaha zu."
"39","1","1","11","39010111","&nbsp;&nbsp;&#34;Nabete no senzigaki ha&#44; monosi to obosi nu beku&#44; kotokotosiki ohom-sama nari.&#34;"
"39","1","1","12","39010112","&nbsp;&nbsp;to&#44; hitobito kikoyure ba&#44; Miya zo ohom-kaheri kikoye tamahu."
"39","1","1","13","39010113","&nbsp;&nbsp;Ito wokasige nite&#44; tada hito-kudari nado&#44; ohodoka naru kaki zama&#44; kotoba mo natukasiki tokoro kaki sohe tamahe ru wo&#44; iyoiyo mi mahosiu me tomari te&#44; sigeu kikoye kayohi tamahu."
"39","1","1","14","39010114","&nbsp;&nbsp;&#34;Naho&#44; tuhini aru yau aru beki yau ohom-nakarahi na' meri.&#34;"
"39","1","1","15","39010115","&nbsp;&nbsp;to&#44; Kitanokata kesiki tori tamahe re ba&#44; wadurahasiku te&#44; maude mahosiu obose do&#44; tomini e idetati tamaha zu."
"39","1","2","1","39010201","&nbsp;&nbsp;Hatigwatu naka no towoka bakari nare ba&#44; nobe no kesiki mo wokasiki koro naru ni&#44; yamazato no arisama no ito yukasikere ba&#44;"
"39","1","2","2","39010202","&nbsp;&nbsp;&#34;Nanigasi Risi no medurasiu ori ta' naru ni&#44; setini katarahu beki koto ari. Miyasumdokoro no wadurahi tamahu naru mo toburahi gatera&#44; maude m.&#34;"
"39","1","2","3","39010203","&nbsp;&nbsp;to&#44; ohokata ni zo kikoye te ide tamahu. Gozen&#44; kotokotosikara de&#44; sitasiki kagiri go&#44; roku-nin bakari&#44; kariginu nite saburahu. Kotoni hukaki miti nara ne do&#44; Matugasaki no woyama no iro nado mo&#44; saru ihaho nara ne do&#44; aki no kesiki tuki te&#44; miyako ni ninaku to tukusi taru ihewi ni ha&#44; naho&#44; ahare mo kyou mo masari te zo miyuru ya!"
"39","1","2","4","39010204","&nbsp;&nbsp;Hakanaki kosibagaki mo yuwe aru sama ni si nasi te&#44; karisome nare do atehaka ni sumahi nasi tamahe ri. Sinden to obosiki himgasi no hanatiide ni&#44; suhohu no dan nuri te&#44; kita no hisasi ni ohasure ba&#44; nisiomote ni Miya ha ohasimasu."
"39","1","2","5","39010205","&nbsp;&nbsp;Ohom-mononoke mutukasi tote&#44; todome tatematuri tamahi kere do&#44; ikadeka hanare tatematura m to&#44; sitahi watari tamahe ru wo&#44; hito ni uturi tiru wo odi te&#44; sukosi no hedate  bakari ni&#44; anata ni ha watasi tatematuri tamaha zu."
"39","1","2","6","39010206","&nbsp;&nbsp;Marauto no wi tamahu beki tokoro no nakere ba&#44; Miya no ohom-kata no misu no mahe ni ire tatematuri te&#44; zyaurahu-datu hitobito&#44; ohom-seusoko kikoye tutahu."
"39","1","2","7","39010207","&nbsp;&nbsp;&#34;Ito katazikenaku&#44; kau made notamaha se watara se tamahe ru wo nam. Mosi kahinaku nari hate haberi na ba&#44; kono kasikomari wo dani kikoyesase de ya to&#44; omohi tamahuru wo nam&#44; ima sibasi kake-todome mahosiki kokoro tuki haberi nuru.&#34;"
"39","1","2","8","39010208","&nbsp;&nbsp;to&#44; kikoye idasi tamahe ri."
"39","1","2","9","39010209","&nbsp;&nbsp;&#34;Watara se tamahi si ohom-okuri ni mo to omou tamahe si wo&#44; Rokudeu-no-Win ni uketamahari sasi taru koto haberi si hodo nite nam. Higoro mo&#44; sokohakatonaku magiruru koto haberi te&#44; omohi tamahuru kokoro no hodo yori ha&#44; koyonaku oroka ni goranze raruru koto no&#44; kurusiu haberu.&#34;"
"39","1","2","10","39010210","&nbsp;&nbsp;nado&#44; kikoye tamahu."
"39","1","3","1","39010301","&nbsp;&nbsp;Miya ha&#44; oku no kata ni ito sinobi te ohasimase do&#44; kotokotosikara nu tabi no ohom-siturahi&#44; asaki yau naru omasi no hodo nite&#44; hito no ohom-kehahi onodukara sirusi. Ito yaharaka ni uti-miziroki nado si tamahu ohom-zo no otonahi&#44; sabakari na' nari to&#44; kiki wi tamahe ri."
"39","1","3","2","39010302","&nbsp;&nbsp;Kokoro mo sora ni oboye te&#44; anata no ohom-seusoko kayohu hodo&#44; sukosi tohou hedataru hima ni&#44; rei no Seusyau-no-Kimi nado&#44; saburahu hitobito ni monogatari nado si tamahi te&#44;"
"39","1","3","3","39010303","&nbsp;&nbsp;&#34;Kau mawiri ki nare uketamaharu koto no&#44; tosigoro to ihu bakari ni nari ni keru wo&#44; koyonau mono tohou motenasa se tamahe ru uramesisa nam. Kakaru misu no mahe nite&#44; hitodute no ohom-seusoko nado no&#44; honoka ni kikoye tutahuru koto yo. Mada koso naraha ne. Ikani hurumekasiki sama ni&#44; hitobito hohowemi tamahu ram to&#44; hasitanaku nam."
"39","1","3","4","39010304","&nbsp;&nbsp;Yohahi tumora zu karuraka nari si hodo ni&#44; hono-suki taru kata ni omonare na masika ba&#44; kau uhiuhisiu mo oboye zara masi. Sarani&#44; kabakari sukusukusiu&#44; ore te tosi huru hito ha&#44; taguhi ara zi kasi.&#34;"
"39","1","3","5","39010305","&nbsp;&nbsp;to notamahu. Geni&#44; ito anaduri nikuge naru sama si tamahi ture ba&#44; sarebayo to&#44;"
"39","1","3","6","39010306","&nbsp;&nbsp;&#34;Nakanaka naru ohom-irahe kikoye ide m ha&#44; hadukasiu.&#34;"
"39","1","3","7","39010307","&nbsp;&nbsp;nado tukisirohi te&#44;"
"39","1","3","8","39010308","&nbsp;&nbsp;&#34;Kakaru ohom-urehe kikosimesi sira nu yau nari.&#34;"
"39","1","3","9","39010309","&nbsp;&nbsp;to&#44; Miya ni kikoyure ba&#44;"
"39","1","3","10","39010310","&nbsp;&nbsp;&#34;Midukara kikoye tamaha za' meru katahara itasa ni&#44; kahari haberu beki wo&#44; ito osorosiki made monosi tamahu meri si wo&#44; mi atukahi haberi si hodo ni&#44; itodo arukanakika no kokoti ni nari te nam&#44; e kikoye nu.&#34;"
"39","1","3","11","39010311","&nbsp;&nbsp;to are ba&#44;"
"39","1","3","12","39010312","&nbsp;&nbsp;&#34;Koha&#44; Miya no ohom-seusoko ka?&#34; to wi nahori te&#44; &#34;Kokorogurusiki ohom-nayami wo&#44; mi ni kahu bakari nageki kikoyesase haberu mo&#44; nani no yuwe ni ka? Katazikenakere do&#44; mono wo obosi siru ohom-arisama nado&#44; harebaresiki kata ni mo mi tatematuri nahosi tamahu made ha&#44; tahiraka ni sugusi tamaha m koso&#44; taga ohom-tame ni mo tanomosiki koto ni ha habera me to&#44; osihakari kikoye sasuru ni yori nam. Tada anata zama ni obosi yuduri te&#44; tumori haberi nuru kokorozasi wo mo sirosi mesa re nu ha&#44; ho'i naki kokoti nam.&#34;"
"39","1","3","13","39010313","&nbsp;&nbsp;to kikoye tamahu. &#34;Geni&#34; to&#44; hito-bito mo kikoyu."
"39","1","4","1","39010401","&nbsp;&nbsp;Hi irikata ni nariyuku ni&#44; sora no kesiki mo ahare ni kiri watari te&#44; yama no kage ha woguraki kokoti suru ni&#44; higurasi no naki sikiri te&#44; kakiho ni ohuru nadesiko no&#44; uti-nabike ru iro mo wokasiu miyu."
"39","1","4","2","39010402","&nbsp;&nbsp;Mahe no sensai no hana-domo ha&#44; kokoro ni makase te midare ahi taru ni&#44; midu no woto ito suzusige nite&#44; yamaorosi kokorosugoku&#44; matu no hibiki kobukaku kikoye watasa re nado si te&#44; hudan no kyau yomu&#44; toki kahari te&#44; kane uti-narasu ni&#44; tatu kowe mo wi kaharu mo&#44; hitotu ni ahi te&#44; ito tahutoku kikoyu."
"39","1","4","3","39010403","&nbsp;&nbsp;Tokorokara&#44; yorodu no koto kokorobosou minasa ruru mo&#44; ahare ni mono-omohi tuduke raru. Ide tamaha m kokoti mo nasi. Risi mo&#44; kadi suru oto si te&#44; Darani ito tahutoku yomu nari."
"39","1","4","4","39010404","&nbsp;&nbsp;Ito kurusige ni si tamahu nari tote&#44; hitobito mo sonata ni tudohi te&#44; ohokata mo&#44; kakaru tabidokoro ni amata mawira zari keru ni&#44; itodo hitozukuna nite&#44; Miya ha nagame tamahe ri. Simeyaka nite&#44; &#34;Omohu koto mo uti-ide tu beki wori kana!&#34; to omohi wi tamahe ru ni&#44; kiri no tada kono noki no moto made tati-watare ba&#44;"
"39","1","4","5","39010405","&nbsp;&nbsp;&#34;Makade m kata mo miye zu nariyuku ha&#44; ikaga su beki?&#34; tote&#44;"
"39","1","4","6","39010406","&nbsp;&nbsp;&nbsp;&nbsp;&#34;Yamazato no ahare wo sohuru yuhugiri ni<BR>&nbsp;&nbsp;&nbsp;&nbsp;tatiide m sora mo naki kokoti si te"
"39","1","4","7","39010407","&nbsp;&nbsp;to kikoye tamahe ba&#44;"
"39","1","4","8","39010408","&nbsp;&nbsp;&nbsp;&nbsp;&#34;Yamagatu no magaki wo kome te tatu kiri mo<BR>&nbsp;&nbsp;&nbsp;&nbsp;kokoro sora naru hito ha todome zu"
"39","1","4","9","39010409","&nbsp;&nbsp;Honoka ni kikoyuru ohom-kehahi ni nagusame tutu&#44; makoto ni kaherusa wasure hate nu."
"39","1","4","10","39010410","&nbsp;&nbsp;&#34;Nakazora naru waza kana! Ihedi ha miye zu&#44; kiri no magaki ha&#44; tatitomaru beu mo ara zu yarahase tamahu. Tukinaki hito ha&#44; kakaru koto koso.&#34;"
"39","1","4","11","39010411","&nbsp;&nbsp;nado yasurahi te&#44; sinobi amari nuru sudi mo honomekasi kikoye tamahu ni&#44; tosigoro mo mugeni misiri tamaha nu ni ha ara ne do&#44; sira nu kaho ni nomi motenasi tamahe ru wo&#44; kaku koto ni ide te urami kikoye tamahu wo&#44; wadurahasiu te&#44; itodo ohom-irahe mo nakere ba&#44; itau nageki tutu&#44; kokoro no uti ni&#44; &#34;Mata&#44; kakaru wori ari na m ya?&#34; to&#44; omohi megurasi tamahu."
"39","1","4","12","39010412","&nbsp;&nbsp;&#34;Nasakenau ahatukeki mono ni ha omoha re tatematuru tomo&#44; ikagaha se m? Omohi wataru sama wo dani sirase tatematura m.&#34;"
"39","1","4","13","39010413","&nbsp;&nbsp;to omohi te&#44; hito wo mese ba&#44; ohom-tukasa no Zou yori kauburi e taru&#44; mutumasiki hito zo mawire ru. Sinobiyaka ni mesiyose te&#44;"
"39","1","4","14","39010414","&nbsp;&nbsp;&#34;Kono Risi ni kanarazu ihu beki koto no aru wo. Gosin nado ni itoma nage na' meru&#44; tada ima ha uti-yasumu ram. Koyohi kono watari ni tomari te&#44; soya no zi hate m hodo ni&#44; kano wi taru kata ni monose m. Kore kare&#44; saburaha se yo. Zuizin nado no wonoko-domo ha&#44; Kurusuno no sau tikakara m&#44; magusa nado tori-kahase te&#44; koko ni hito amata kowe na se so. Kayau no tabine ha&#44; karugarusiki yau ni hito mo torinasu besi.&#34;"
"39","1","4","15","39010415","&nbsp;&nbsp;to notamahu. Aru yau aru besi to kokoroe te&#44; uketamahari te tati nu."
"39","1","5","1","39010501","&nbsp;&nbsp;Sate&#44;"
"39","1","5","2","39010502","&nbsp;&nbsp;&#34;Miti ito tadotadosikere ba&#44; kono watari ni yado kari haberu. Onaziu ha&#44; kono misu no moto ni yurusa re ara nam. Azari no oruru hodo made.&#34;"
"39","1","5","3","39010503","&nbsp;&nbsp;nado&#44; turenaku notamahu. Rei ha&#44; kayau ni nagawi si te&#44; azarebami taru kesiki mo miye tamaha nu wo&#44; &#34;Utate mo aru kana!&#34; to&#44; Miya obose do&#44; kotosarameki te&#44; karuraka ni anata ni hahi-watari tamahu ha&#44; hito mo sama asiki kokoti si te&#44; tada oto se de ohasimasu ni&#44; tokaku kikoye yori te&#44; ohom-seusoko kikoye tutahe ni wizari iru hito no kage ni tuki te&#44; iri tamahi nu."
"39","1","5","4","39010504","&nbsp;&nbsp;Mada yuhugure no&#44; kiri ni todi rare te&#44; uti ha kuraku nari ni taru hodo nari. Asamasiu te mikaheri taru ni&#44; Miya ha ito mukutukeu nari tamau te&#44; kita no mi-sauzi no to ni wizari ide sase tamahu wo&#44; ito you tadori te&#44; hiki-todome tatematuri tu."
"39","1","5","5","39010505","&nbsp;&nbsp;Ohom-mi ha iri hate tamahe re do&#44; ohom-zo no suso no nokori te&#44; sauzi ha&#44; anata yori sasu beki kata nakarikere ba&#44; hiki-tate sasi te&#44; midu no yau ni wananaki ohasu."
"39","1","5","6","39010506","&nbsp;&nbsp;Hitobito mo akire te&#44; ikani su beki koto to mo e omohi e zu. Konata yori koso sasu kane nado mo are&#44; ito warinaku te&#44; araarasiku ha&#44; e hiki-kanaguru beku hata monosi tamaha ne ba&#44;"
"39","1","5","7","39010507","&nbsp;&nbsp;&#34;Ito asamasiu. Omo tamahe yora zari keru mi-kokoro no hodo ni nam.&#34;"
"39","1","5","8","39010508","&nbsp;&nbsp;to&#44; naki nu bakari ni kikoyure do&#44;"
"39","1","5","9","39010509","&nbsp;&nbsp;&#34;Kabakari nite saburaha m ga&#44; hito yori keni utomasiu&#44; mezamasiu obosa ru beki ni ya ha! Kazu nara zu tomo&#44; ohom-mimi nare nuru tosituki mo kasanari nu ram.&#34;"
"39","1","5","10","39010510","&nbsp;&nbsp;tote&#44; ito nodoyaka ni sama yoku mote-sidume te&#44; omohu koto wo kikoye sira se tamahu."
"39","1","6","1","39010601","&nbsp;&nbsp;Kiki ire tamahu beku mo ara zu&#44; kuyasiu&#44; kaku made to obosu koto nomi&#44; yarukatanakere ba&#44; notamaha m koto hata masite oboye tamaha zu."
"39","1","6","2","39010602","&nbsp;&nbsp;&#34;Ito kokorouku&#44; wakawakasiki ohom-sama kana! Hito sire nu kokoro ni amari nuru sukizukisiki tumi bakari koso habera me&#44; kore yori nare sugi taru koto ha&#44; sarani mi-kokoro yurusa re de ha goranze rare zi. Ikabakari&#44; tidi ni kudake haberu omohi ni tahe nu zo ya!"
