Book,Chapter,Paragraph,Line,LineId,Text
12,1,1,1,12010101," For Genji life had become an unbroken succession of reverses and afflictions. He must consider what to do next. If he went on pretending that nothing was amiss, then even worse things might lie ahead."
12,1,1,2,12010102," He thought of the Suma coast. People of worth had once lived there, he was told, but now it was deserted save for the huts of fishermen, and even they were few. The alternative was worse, to go on living this public life, so to speak, with people streaming in and out of his house. Yet he would hate to leave, and affairs at court would continue to be much on his mind if he did leave. This irresolution was making life difficult for his people."
12,1,1,3,12010103,"    Unsettling thoughts of the past and the future chased one another through his mind. The thought of leaving the city aroused a train of regrets, led by the image of a grieving Murasaki. It was very well to tell himself that somehow, someday, by some route they would come together again."
12,1,1,4,12010104," Even when they were separated for a day or two Genji was beside himself with worry and Murasaki's gloom was beyond describing. It was not as if they would be parting for a fixed span of years; and if they had only the possibility of a reunion on some unnamed day with which to comfort themselves, well, life is uncertain, and they might be parting forever. He thought of consulting no one and taking her with him, but the inappropriateness of subjecting such a fragile lady to the rigors of life on that harsh coast, where the only callers would be the wind and the waves, was too obvious. Having her with him would only add to his worries. She guessed his thoughts and was unhappy. She let it be known that she did not want to be left behind, however forbidding the journey and life at the end of it."
12,1,1,5,12010105,"    Then there was the lady of the orange blossoms. He did not visit her often, it is true, but he was her only support and comfort, and she would have every right to feel lonely and insecure. And there were women who, after the most fleeting affairs with him, went on nursing their various secret sorrows."
12,1,1,6,12010106,"    Fujitsubo, though always worried about rumors, wrote frequently. It struck him as bitterly ironical that she had not returned his affection earlier, but he told himself that a fate which they had shared from other lives must require that they know the full range of sorrows."
12,1,2,1,12010201,"    He left the city late in the Third Month. He made no announcement of his departure, which was very inconspicuous, and had only seven or eight trusted retainers with him. He did write to certain people who should know of the event. I have no doubt that there were many fine passages in the letters with which he saddened the lives of his many ladies, but, grief-stricken myself, I did not listen as carefully as I might have."
12,1,2,2,12010202,"    Two or three days before his departure he visited his father-in-law. It was sad, indeed rather eerie, to see the care he took not to attract notice. His carriage, a humble one covered with cypress basketwork, might have been mistaken for a woman's. The apartments of his late wife wore a lonely, neglected aspect. At the arrival of this wondrous and unexpected guest, the little boy's nurse and all the other women who had not taken positions elsewhere gathered for a last look. Even the shallowest of the younger women were moved to tears at the awareness he brought of transience and mutability."
12,1,2,3,12010203," Yu~giri, the little boy, was very pretty indeed, and indefatigably noisy."
12,1,2,4,12010204,"    ""It has been so long. I am touched that he has not forgotten me."""
12,1,2,5,12010205,  He took the boy on his knee and seemed about to weep.
12,1,2,6,12010206,"    The minister, his father-in-law, came in."
12,1,2,7,12010207," ""I know that you are shut up at home with little to occupy you, and I had been thinking I would like to call on you and have a good talk. I talk on and on when once I let myself get started. But I have told them I am ill and have been staying away from court, and I have even resigned my offices; and I know what they would say if I were to stretch my twisted old legs for my own pleasure. I hardly need to worry about such things any more, of course, but I am still capable of being upset by false accusations. When I see how things are with you, I know all too painfully what a sad day I have come on at the end of too long a life. I would have expected the world to end before this was allowed to happen, and I see hot a ray of light in it all."""
12,1,2,8,12010208,
12,1,2,9,12010209,"'    ""Dear sir, we must accept the disabilities we bring from other lilies. Everything that has happened to me is a result of my own inadequacy. I have heard that in other lands as well as our own an offense which does not, like mine, call for dismissal from office is thought to become far graver if the culprit goes on happily living his old life. And when exile is considered, as I believe it is in my case, the offense must have been thought more serious. Though I know I am innocent, I know too what insults I may look forward to if I stay, and so I think that I will forestall them by leaving."""
12,1,2,10,12010210,
12,1,2,11,12010211,"    Brushing away tears, the minister talked of old times, of Genji's father, and all he had said and thought. Genji too was weeping. The little boy scrambled and rolled about the room, now pouncing upon his father and now making demands upon his grandfather."
12,1,2,12,12010212,"    ""I have gone on grieving for my daughter. And then I think what agony all this would have been to her, and am grateful that she lived such a short life and was spared the nightmare. So I try to tell myself, in any event. My chief sorrows and worries are for our little man here. He must grow up among us dotards, and the days and months will go by without the advantage of your company. It used to be that even people who were guilty of serious crimes escaped this sort of punishment; and I suppose we must call it fate, in our land and other lands too, that punishment should come all the same. But one does want to know what the charges are. In your case they quite defy the imagination."""
12,1,2,13,12010213,
12,1,2,14,12010214,"    To~ no Chu~jo~ came in. They drank until very late, and Genji was induced to stay the night. He summoned Aoi's various women. Chu~nagon was the one whom he had most admired, albeit in secret. He went on talking to her after everything was quiet, and it would seem to have been because of her that he was prevailed upon to spend the night."
12,1,2,15,12010215," Dawn was at hand when he got up to leave. The moon in the first suggestions of daylight was very beautiful. The cherry blossoms were past their prime, and the light through the few that remained flooded the garden silver. Everything faded together into a gentle mist, sadder and more moving than on a night in autumn. He sat for a time leaning against the railing at a corner of the veranda."
12,1,2,16,12010216, Chu~nagon was waiting at the door as if to see him off.
