Volume,Chapter,Paragraph,Line,LineId,Text
6,1,1,1,6010101," Though the years might forget ""the evening face"" * that had been with him such a short time and vanished like the dew, Genji could not. His other ladies were proud and aloof, and her pretty charms were unlike any others he had known."
6,1,1,2,6010102," Forgetting that the affair had ended in disaster, he would ask himself if he might not find another girl, pretty and of not too high a place in the world, with whom he might be as happy."
6,1,1,3,6010103," The cold and unrelenting ones seemed to have too grand a notion of their place in the world, and when their proud ambition began to fail it failed completely and in the end they made very undistinguished marriages for themselves. His inquiries usually ended after a note or two."
6,1,1,4,6010104,"    He continued to have bitter thoughts about the governor's wife, the lady of ""the locust shell."" + As for her stepdaughter, he favored her with notes, it would seem, when suitable occasions arose. He would have liked to see her again as he had seen her then, in dishabille by lamplight. He was a man whose nature made it impossible for him to forget a woman."
6,1,2,1,6010201,"    One of his old nurses, of whom he was only less fond than of Koremitsu's mother, had a daughter named Tayu~, a very susceptible young lady who was in court service and from time to time did favors for Genji. Her father belonged to a cadet branch of the royal family. Because her mother had gone off to the provinces with her present husband, the governor of Chikuzen, Tayu~ lived in her father's house and went each day to court."
6,1,2,2,6010202," She chanced to tell Genji that the late prince Hitachi had fathered a daughter in his old age. The princess had enjoyed every comfort while she had had him to dote upon her, but now she was living a sad, straitened life. Genji was much touched by the story and inquired further."
6,1,2,3,6010203,"     ""I am not well informed, I fear, about her appearance and disposition. She lives by herself and does not see many people. On evenings when I think I might not be intruding, I sometimes have a talk with her through curtains and we play duets together. We have the koto as a mutual friend, you might say."""
6,1,2,4,6010204,"     ""That one of the poet's three friends is permitted to a lady, but not the next. * You must let me hear her play sometime. Her father was very good at the koto. It does not seem likely that she would be less than remarkable herself."""
6,1,2,5,6010205,"     ""I doubt, sir, that she could please so demanding an ear."""
6,1,2,6,6010206,
6,1,2,7,6010207,"     ""That was arch of you. We will pick a misty moonlit night and go pay a visit. You can manage a night off from your duties."""
6,1,2,8,6010208,"    Though she feared it would not be easy, they made their plans, choosing a quiet spring evening when little was happening at court."
6,1,2,9,6010209," Tayu~ went on ahead to prince Hitachi's mansion. Her father lived elsewhere and visited from time to time.+ Not being on very good terms with her stepmother, she preferred the Hitachi mansion, and she and the princess had become good friends."
6,1,3,1,6010301,"    Genji arrived as planned. The moon was beautiful, just past full."
6,1,3,2,6010302,"     ""It seems a great pity,""  said Tayu~, ""that this should not be the sort of night when a koto sounds best."""
6,1,3,3,6010303,"     ""Do go over and urge her to play something, anything. Otherwise I will have come in vain."""
6,1,3,4,6010304,"    She showed him into her own rather cluttered room. She thought the whole adventure beneath his dignity, but went to the main hall even so. With the shutters still raised, a delicate fragrance of plum blossoms was wafted in."
6,1,3,5,6010305,"    She saw her chance. ""On beautiful nights like this I think of your koto and wish we might become better acquainted. It seems a pity that I always have to rush off."""
6,1,3,6,6010306,"     ""I fear that you have heard too much really fine playing. My own can hardly seem passable to someone who frequents the palace."""
6,1,3,7,6010307,"    Yet she reached for her koto. Tayu~ was very nervous, wondering what marks Genji would give the concert."
6,1,3,8,6010308," She played a soft strain which in fact he found very pleasing. Her touch was not particularly distinguished, but the instrument was by no means ordinary, and he could see that she had inherited something of her father's talent."
6,1,3,9,6010309," She had been reared in old-fashioned dignity by a gentleman of the finest breeding, and now, in this lonely, neglected place, scarcely anything of the old life remained. She must have known all the varieties of melancholy. It was just such a spot that the old romancers chose for their most moving scenes. He would have liked to let her know of his presence, but did not want to seem forward."
6,1,3,10,6010310,"    A clever person, Tayu~ thought it would be best not to let Genji hear too much."
6,1,3,11,6010311,"  ""It seems to have clouded over,""  she said. ""I am expecting a caller and would not wish him to think I am avoiding him. I will come again and hope for the pleasure of hearing you at more considerable length."""
6,1,3,12,6010312,  And on this not very encouraging note she returned to her room.
6,1,3,13,6010313,"     ""She stopped just too soon,""  said Genji. ""I was not able to tell how good she might be."""
6,1,3,14,6010314,  He was interested.
6,1,3,15,6010315," ""Perhaps if it is all the same you can arrange for me to listen from a little nearer at hand."""
6,1,3,16,6010316,"    Tayu~ thought it would be better to leave him as he was, in a state of suspense."
6,1,3,17,6010317," ""I fear not, sir. She is a lonely, helpless person, quite lost in her own thoughts. It is all very sad, and I would certainly not want to do anything that might distress her."""
6,1,3,18,6010318,"    She was right. He Must defer to the lady's position. There were ranks and there were ranks, and it was in the lower of them that ladies did not always turn away sudden visitors."
6,1,3,19,6010319,"    ""But do please give her some hint of my feelings."""
6,1,3,20,6010320,  He had another engagement and went quietly out.
6,1,3,21,6010321,"    ""It amuses me sometimes to think that your royal father believes you to be excessively serious. I doubt that he ever sees you dressed for these expeditions."""
6,1,3,22,6010322,    He smiled over his shoulder.
6,1,3,23,6010323," ""You do not seem in a very good position to criticize. If this sort of thing requires comment, then what are we to say of the behavior of certain ladies I know?"""
6,1,3,24,6010324,    She did not answer. Her somewhat indiscriminate ways invited such remarks.
6,1,3,25,6010325,"    Wondering if he might come upon something of interest in the main hall, he took cover behind a moldering, leaning section of bamboo fence. Someone had arrived there before him. Who might it be? A young gallant who had come courting the lady, no doubt. He fell back into the shadows.
    In fact, it was his friend To~ no Chu~jo~."
