"Volume","Chapter","Paragraph","Line","LineId","Text"
"34","1","1","1","34010101","　朱雀院の帝、先日の行幸の後、そのころから、御不例でずっと御病気でおいであそばす。もともと御病気がちでいらせられるが、今回は何となく心細くお思いあさばされて、"
"34","1","1","2","34010102","　「長年出家の願望は強いが、后の宮がご存命であった間は、いろいろと御遠慮申し上げなさって、今まで決意しないでいたが、やはりその方面に心が向くのだろうか、長くは生きていられないような気がする」"
"34","1","1","3","34010103","　などと仰せられて、しかるべきお心づもりをいろいろ御準備あそばす。"
"34","1","1","4","34010104","　御子たちは、東宮を別に申して、女宮たちがお四方いらっしゃった。その中でも、藤壷と申し上げた方は、先帝の源氏でいらっしゃった。"
"34","1","1","5","34010105","　まだ東宮と申し上げた時代に入内なさって、高い地位にもおつきになるはずであった方が、これと言ったご後見役もいらっしゃらず、母方も名門の家柄でなく、微力の更衣腹でいらっしゃったので、ご交際ぶりも頼りなさそうで、大后が尚侍の君をお入れ申し上げなさって、側に競争相手がいないほど重くお扱い申し上げなさったりしたので、圧倒されて、帝も御心中に、お気の毒にはお思い申し上げあそばしながら、御譲位あそばしたので、入内した甲斐もなく残念で、世の中を恨むような有様でお亡くなりになった。"
"34","1","1","6","34010106","　その腹の女三の宮を、大勢の御子たちの中で、特別にかわいがって大事になさっておいでになる。"
"34","1","1","7","34010107","　その当時、お年、十三、四歳ほどでいらっしゃる。"
"34","1","1","8","34010108","　「今を限りと世を捨てて、山籠もりした後に残って、誰を頼りとして行かれるのだろうか」"
"34","1","1","9","34010109","　と、ただこの御方のことだけが気がかりにお嘆きになる。"
"34","1","1","10","34010110","　西山にある御寺を完成させて、お移りあそばすための御準備をあそばすにつけても、またこの宮の御裳着の儀式を御準備あそばす。"
"34","1","1","11","34010111","　院の中に秘蔵していらっしゃる御宝物、御調度類は言うまでもなく、ちょっとしたお遊び道具類まで、少しでも由緒ある物は全て、ただこの御方にお譲り申し上げなさって、それに次ぐ品々を、他の御子たちには、御分配なさったのであった。"
"34","1","2","1","34010201","　東宮は、「このような御病気に加えて、御出家あそばすお心づもりだ」とお聞きあそばして、お越しあそばした。母女御、ご一緒申されておいでになった。格別のご寵愛というほどでもなかったが、東宮がこうしていらっしゃるご運勢が、この上なく素晴らしいので、久しぶりのお話、親しくお話し合いになったのであった。"
"34","1","2","2","34010202","　東宮にも、いろいろなこと、国をお治めになる時の御注意など、お教え申し上げなさる。お年のわりにはとてもよくご成人あそばされていて、ご後見役たちも、あちらこちらと、重々しい立派なお間柄でいらっしゃるので、たいそう安心だとお思い申し上げていらっしゃる。"
"34","1","2","3","34010203","　「この世に不満の残ることはございません。女宮たちが大勢後に残るその行く末を思いやると、それがいざ別れとなる時にきっと障りとなることでしょう。これまで、他人事として見たり聞いたりしてきたことが、女は思いがけず、軽々しく、世間から批判される運命であるのが、たいそう残念で悲しいことだ。"
"34","1","2","4","34010204","　どなたをも、御即位なさった御代には、何かにつけて、お心にかけてお世話なさって下さい。その中で、後見人のいる方は、そちらに任せてよいと思います。"
"34","1","2","5","34010205","　三の宮は、幼いお年頃で、ただわたし一人をずっと頼りとしてきたので、出家した後の世に、寄るべもなく心細い生活をするだろうことを、とてもまことに気がかりで悲しく思っております」"
"34","1","2","6","34010206","　と、お目を拭いながら、お聞かせ申し上げあそばす。"
"34","1","2","7","34010207","　女御にも、やさしくして下さるようお頼み申し上げあそばす。けれども、母女御が、他の人よりは優れて御寵愛が厚かったために、皆が競争なさい合ったころ、お妃方の御仲も、あまりよろしくできなかったので、その影響で、「なるほど、今では特に憎いなどとは思わなくても、本当に心にかけてお世話しようとまではお思いでなかろう」と推量されるのである。"
"34","1","2","8","34010208","　朝な夕なに、この方の御事を御心配なさる。年が暮れてゆくにつれて、御病気がほんとうに重くおなりあそばして、御簾の外にもお出ましにならない。御物の怪で、時々お悩みになったことはあったが、とてもこのようにいつまでもお悪いことはあり続けなかったが、「今度は、やはり、最期だ」とお思いでいらっしゃった。"
"34","1","2","9","34010209","　お位をお退きあそばしたが、やはりその当時にお頼り申し上げていらした方々は、今でもおやさしくご立派なお人柄を、心の慰め所にして参上しお仕えなさっている方々は、みな心の底からお悲しみ申し上げなさる。"
"34","1","3","1","34010301","　六条院からも、お見舞いが頻繁にある。ご自身も参上なさる由、お聞きあそばして、院はとてもたいそうお喜び申し上げあそばす。"
"34","1","3","2","34010302","　中納言の君が参上なさったのを、御簾の中に招き入れて、お話を親密になさる。"
