"Volume","Volume_Title","Volume_Subtitle","Chapter","Chapter_Title","Paragraph","Paragraph_Title","Line"
"1","第一帖 桐壺","第一章　光る源氏前史の物語","1","第一章　光る源氏前史の物語","1","第一段　父帝と母桐壺更衣の物語",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","1","第一章　光る源氏前史の物語","2","第二段　御子誕生（一歳）",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","1","第一章　光る源氏前史の物語","3","第三段　若宮の御袴着（三歳）",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","1","第一章　光る源氏前史の物語","4","第四段　母御息所の死去",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","1","第一章　光る源氏前史の物語","5","第五段　故御息所の葬送",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","2","第二章　父帝悲秋の物語","1","第一段　父帝悲しみの日々",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","2","第二章　父帝悲秋の物語","2","第二段　靫負命婦の弔問",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","2","第二章　父帝悲秋の物語","3","第三段　命婦帰参",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","1","第一段　若宮参内（四歳）",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","2","第二段　読書始め（七歳）",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","3","第三段　高麗人の観相、源姓賜わる",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","4","第四段　先帝の四宮（藤壺）入内",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","5","第五段　源氏、藤壺を思慕",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","6","第六段　源氏元服（十二歳）",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","7","第七段　源氏、左大臣家の娘（葵上）と結婚",0
"1","第一帖 桐壺","第一章　光る源氏前史の物語","3","第三章　光る源氏の物語","8","第八段　源氏、成人の後",0
"2","第二帖 帚木","","1","第一章　雨夜の品定めの物語","1","第一段　長雨の時節",0
"2","第二帖 帚木","","1","第一章　雨夜の品定めの物語","2","第二段　宮中の宿直所、光る源氏と頭中将",0
"2","第二帖 帚木","","1","第一章　雨夜の品定めの物語","3","第三段　左馬頭、藤式部丞ら女性談義に加わる",0
"2","第二帖 帚木","","1","第一章　雨夜の品定めの物語","4","第四段　女性論、左馬頭の結論",0
"2","第二帖 帚木","","2","第二章　女性体験談","1","第一段　女性体験談（左馬頭、嫉妬深い女の物語）",0
"2","第二帖 帚木","","2","第二章　女性体験談","2","第二段　左馬頭の体験談（浮気な女の物語）",0
"2","第二帖 帚木","","2","第二章　女性体験談","3","第三段　頭中将の体験談（常夏の女の物語）",0
"2","第二帖 帚木","","2","第二章　女性体験談","4","第四段　式部丞の体験談（畏れ多い女の物語）",0
"2","第二帖 帚木","","3","第三章　空蝉の物語","1","第一段　天気晴れる",0
"2","第二帖 帚木","","3","第三章　空蝉の物語","2","第二段　紀伊守邸への方違へ",0
"2","第二帖 帚木","","3","第三章　空蝉の物語","3","第三段　空蝉の寝所に忍び込む",0
"2","第二帖 帚木","","3","第三章　空蝉の物語","4","第四段　それから数日後",0
"3","第三帖 空蝉","光る源氏十七歳夏の物語","1","光る源氏十七歳夏の物語","1","第一段　空蝉の物語",0
"3","第三帖 空蝉","光る源氏十七歳夏の物語","1","光る源氏十七歳夏の物語","2","第二段　源氏、再度、紀伊守邸へ",0
"3","第三帖 空蝉","光る源氏十七歳夏の物語","1","光る源氏十七歳夏の物語","3","第三段　空蝉と軒端荻、碁を打つ",0
"3","第三帖 空蝉","光る源氏十七歳夏の物語","1","光る源氏十七歳夏の物語","4","第四段　空蝉逃れ、源氏、軒端荻と契る",0
"3","第三帖 空蝉","光る源氏十七歳夏の物語","1","光る源氏十七歳夏の物語","5","第五段　源氏、空蝉の脱ぎ捨てた衣を持って帰る",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","1","第一章　夕顔の物語　夏の物語","1","第一段　源氏、五条の大弐乳母を見舞う",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","1","第一章　夕顔の物語　夏の物語","2","第二段　数日後、夕顔の宿の報告",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","2","第二章　空蝉の物語","1","第一段　空蝉の夫、伊予国から上京す",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","3","第三章　六条の貴婦人の物語　初秋の物語","1","第一段　霧深き朝帰りの物語",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","4","第四章　夕顔の物語(2)　仲秋の物語","1","第一段　源氏、夕顔の宿に忍び通う",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","4","第四章　夕顔の物語(2)　仲秋の物語","2","第二段　八月十五夜の逢瀬",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","4","第四章　夕顔の物語(2)　仲秋の物語","3","第三段　なにがしの院に移る",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","4","第四章　夕顔の物語(2)　仲秋の物語","4","第四段　夜半、もののけ現われる",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","4","第四章　夕顔の物語(2)　仲秋の物語","5","第五段　源氏、二条院に帰る",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","4","第四章　夕顔の物語(2)　仲秋の物語","6","第六段　十七日夜、夕顔の葬送",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","4","第四章　夕顔の物語(2)　仲秋の物語","7","第七段　忌み明ける",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","5","第五章　空蝉の物語(2)","1","第一段　紀伊守邸の女たちと和歌の贈答",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","6","第六章　夕顔の物語(3)","1","第一段　四十九日忌の法要",0
"4","第四帖 夕顔","光る源氏の十七歳夏から立冬の日までの物語","7","第七章　空蝉の物語(3)","1","第一段　空蝉、伊予国に下る",0
"5","第五帖 若紫","光る源氏の十八歳春三月晦日から冬十月までの物語","1","第一章　紫上の物語　若紫の君登場、三月晦日から初夏四月までの物語","1","第一段　三月晦日、加持祈祷のため、北山に出向く",0
"5","第五帖 若紫","光る源氏の十八歳春三月晦日から冬十月までの物語","1","第一章　紫上の物語　若紫の君登場、三月晦日から初夏四月までの物語","2","第二段　山の景色や地方の話に気を紛らす",0
"5","第五帖 若紫","光る源氏の十八歳春三月晦日から冬十月までの物語","1","第一章　紫上の物語　若紫の君登場、三月晦日から初夏四月までの物語","3","第三段　源氏、若紫の君を発見す",0
"5","第五帖 若紫","光る源氏の十八歳春三月晦日から冬十月までの物語","1","第一章　紫上の物語　若紫の君登場、三月晦日から初夏四月までの物語","4","第四段　若紫の君の素性を聞く",0
"5","第五帖 若紫","光る源氏の十八歳春三月晦日から冬十月までの物語","1","第一章　紫上の物語　若紫の君登場、三月晦日から初夏四月までの物語","5","第五段　翌日、迎えの人々と共に帰京",0
"5","第五帖 若紫","光る源氏の十八歳春三月晦日から冬十月までの物語","1","第一章　紫上の物語　若紫の君登場、三月晦日から初夏四月までの物語","6","第六段　内裏と左大臣邸に参る",0
"5","第五帖 若紫","光る源氏の十八歳春三月晦日から冬十月までの物語","1","第一章　紫上の物語　若紫の君登場、三月晦日から初夏四月までの物語","7","第七段　北山へ手紙を贈る",0
