"Volume","Chapter","Paragraph","Line","LineId","Text"
"42","1","1","1","42010101","　<RUBY><RB>光君</RB><RP>（</RP><RT>ひかるきみ</RT><RP>）</RP></RUBY>がおかくれになったあとに、そのすぐれた<RUBY><RB>美貌</RB><RP>（</RP><RT>びぼう</RT><RP>）</RP></RUBY>を継ぐと見える人は多くの遺族の中にも求めることが困難であった。院の陛下はおそれおおくて数に引きたてまつるべきでない。今の<RUBY><RB>帝</RB><RP>（</RP><RT>みかど</RT><RP>）</RP></RUBY>の第三の宮と、同じ六条院で成長した<RUBY><RB>朱雀</RB><RP>（</RP><RT>すざく</RT><RP>）</RP></RUBY>院の<RUBY><RB>女三</RB><RP>（</RP><RT>にょさん</RT><RP>）</RP></RUBY>の<RUBY><RB>宮</RB><RP>（</RP><RT>みや</RT><RP>）</RP></RUBY>の若君の<RUBY><RB>二人</RB><RP>（</RP><RT>ふたり</RT><RP>）</RP></RUBY>がとりどりに美貌の名を取っておいでになって、実際すぐれた貴公子でおありになったが、光源氏がそうであったようにまばゆいほどの美男というのではないようである。<BR>"
"42","1","1","2","42010102","　ただ普通の人としてはまことにりっぱで<RUBY><RB>艶</RB><RP>（</RP><RT>えん</RT><RP>）</RP></RUBY>な姿の備わっている方たちである上に、あらゆる条件のそろった身分でおありになることも、光源氏にやや過ぎていて、人々の尊敬している心が実質以上に美なる人、すぐれた人にする傾向があった。<BR>"
"42","1","1","3","42010103","　紫夫人が特に愛してお育てした方であったから、三の宮は二条の院に住んでおいでになるのである。むろん東宮は特別な方として御大切にあそばすのであるが、帝もお<RUBY><RB>后</RB><RP>（</RP><RT>きさき</RT><RP>）</RP></RUBY>もこの三の宮を非常にお愛しになって、御所の中へお<RUBY><RB>住居</RB><RP>（</RP><RT>すまい</RT><RP>）</RP></RUBY>の御殿も持たせておありになるが、宮はそれよりも気楽な自邸の生活をお喜びになって、二条の院におおかたはおいでになるのであった。御元服後は三の宮を<RUBY><RB>兵部卿</RB><RP>（</RP><RT>ひょうぶきょう</RT><RP>）</RP></RUBY>の宮と申し上げるのであった。<BR>"
"42","1","2","1","42010201","　<RUBY><RB>女一</RB><RP>（</RP><RT>にょいち</RT><RP>）</RP></RUBY>の<RUBY><RB>宮</RB><RP>（</RP><RT>みや</RT><RP>）</RP></RUBY>は六条院の南の町の東の<RUBY><RB>対</RB><RP>（</RP><RT>たい</RT><RP>）</RP></RUBY>を、昔のとおりに<RUBY><RB>部屋</RB><RP>（</RP><RT>へや</RT><RP>）</RP></RUBY>の模様変えもあそばされずに住んでおいでになって、明け暮れ昔の美しい養祖母の<RUBY><RB>女王</RB><RP>（</RP><RT>にょおう</RT><RP>）</RP></RUBY>を恋しがっておいでになった。二の宮も同じ六条院の寝殿を時々行ってお休みになる所にあそばして、御所では<RUBY><RB>梅壺</RB><RP>（</RP><RT>うめつぼ</RT><RP>）</RP></RUBY>をお住居に使っておいでになったが、右大臣の二女をお<RUBY><RB>嫁</RB><RP>（</RP><RT>めと</RT><RP>）</RP></RUBY>りになっていた。次の太子に擬せられておいでになる方で、臣下が御尊敬申していることも並み並みでなくて、その御人格も堅実な方であった。<BR>"
"42","1","2","2","42010202","　源右大臣には何人もの令嬢があって、長女は東宮に侍していて、競争者もないよい位置を得ているのである。下の令嬢はまた順序どおりに三の宮がお<RUBY><RB>嫁</RB><RP>（</RP><RT>めと</RT><RP>）</RP></RUBY>りになるのであろうと世間も見ているし、<RUBY><RB>中宮</RB><RP>（</RP><RT>ちゅうぐう</RT><RP>）</RP></RUBY>もそのお心でおありになるのであるが、兵部卿の宮にそのお心がないのである。恋愛結婚でなければいやであると思っておいでになるふうなのであった。<BR>"
"42","1","2","3","42010203","　夕霧の大臣も同じように娘たちを御兄弟の宮方に<RUBY><RB>嫁</RB><RP>（</RP><RT>とつ</RT><RP>）</RP></RUBY>がせることを世間へはばかっているのであったが、もし懇望されるなら同意をするのに<RUBY><RB>躊躇</RB><RP>（</RP><RT>ちゅうちょ</RT><RP>）</RP></RUBY>はしないというふうを見せて、兵部卿の宮に十分の好意を見せていた。大臣の六女は現在における自信のある貴公子の<RUBY><RB>憧憬</RB><RP>（</RP><RT>どうけい</RT><RP>）</RP></RUBY>の的になっていた。<BR>"
"42","1","3","1","42010301","　六条院がおいでにならぬようになってから、夫人がたは皆泣く泣くそれぞれの家へ移ってしまったのであって、<RUBY><RB>花散里</RB><RP>（</RP><RT>はなちるさと</RT><RP>）</RP></RUBY>といわれた夫人は遺産として与えられた東の院へ行ったのであった。<BR>"
"42","1","3","2","42010302","　中宮は大部分宮中においでになったから、院の中は寂しく人少なになったのを、夕霧の右大臣は、<BR>"
"42","1","3","3","42010303","　「昔の人の上で見ても、生きている時に心をこめて作り上げた家が、死後に顧みる者もないような廃邸になっていることは、栄枯盛衰を露骨に形にして見せている気がしてよろしくないものだから、せめて私一代だけは六条院を荒らさないことにしたいと思う。近くの町が人通りも少なく、寂しくなるようなことはさせたくない」<BR>"
"42","1","3","4","42010304","　と言って、東北の町へあの一条の宮をお移しして、三条の<RUBY><RB>邸</RB><RP>（</RP><RT>やしき</RT><RP>）</RP></RUBY>と一夜置きに月十五日ずつ正しく分けて泊っていた。<BR>"
